n_journals,lat,lon,city
4,35.7595° N,5.8340° W,Tanger
5,31.6295° N,7.9811° W,Marrakech
40,33.9716° N,6.8498° W,Rabat
6,34.0181° N,5.0078° W,Fès
12,33.5731° N,7.5898° W,Casablanca
8,33.8730° N,5.5407° W,Meknes
1,31.9272° N,4.4285° W,Errachidia
3,32.3424° N,6.3758° W,Beni Mellal
6,34.6820° N,1.9002° W,Oujda
8,33.2316° N,8.5007° W,El Jadida
4,32.9924° N,7.6223° W,Settat
9,30.4278° N,9.5981° W,Agadir
1,32.3008° N,9.2272° W,Safi
3,35.5889° N,5.3626° W,Tetouan
1,33.6835° N,7.3849° W,Mohammedia
4,34.2541° N,6.5890° W,Kenitra
2,35.2446° N,3.9317° W,Al Hoceima
